INFO 2025-04-25 21:03:37,978 autoreload 43256 46816 Watching for file changes with StatReloader
INFO 2025-04-25 21:11:14,499 basehttp 26268 49012 "GET /project/ HTTP/1.1" 200 44362
INFO 2025-04-25 21:11:14,832 basehttp 26268 24024 "GET /static/projects/js/main.js HTTP/1.1" 200 2435
INFO 2025-04-25 21:11:14,832 basehttp 26268 31692 "GET /static/projects/js/taggle.js HTTP/1.1" 200 5178
INFO 2025-04-25 21:11:14,833 basehttp 26268 49012 "GET /static/projects/css/style.css HTTP/1.1" 200 3945
INFO 2025-04-25 21:11:14,833 basehttp 26268 14364 "GET /static/logo_2.png HTTP/1.1" 200 20640
INFO 2025-04-25 21:11:14,834 basehttp 26268 5012 "GET /media/project_images/project_image_14_g065GOP.jpg HTTP/1.1" 200 63959
INFO 2025-04-25 21:11:14,842 basehttp 26268 48316 "GET /media/project_images/3b24130a-ff4f-4869-9b1e-464ca9f80b5b.png HTTP/1.1" 200 1208204
INFO 2025-04-25 21:11:15,010 basehttp 26268 44344 "GET /static/projects/favicon/site.webmanifest HTTP/1.1" 200 263
INFO 2025-04-25 21:11:15,665 basehttp 26268 49012 "GET /designers/ HTTP/1.1" 200 22678
INFO 2025-04-25 21:11:16,088 basehttp 26268 49012 "GET /static/projects/css/style.css HTTP/1.1" 200 3945
INFO 2025-04-25 21:11:16,089 basehttp 26268 48316 "GET /static/logo_2.png HTTP/1.1" 200 20640
INFO 2025-04-25 21:11:16,089 basehttp 26268 5012 "GET /static/projects/js/main.js HTTP/1.1" 200 2435
INFO 2025-04-25 21:11:16,089 basehttp 26268 14364 "GET /static/projects/js/taggle.js HTTP/1.1" 200 5178
INFO 2025-04-25 21:11:16,270 basehttp 26268 44344 "GET /static/projects/favicon/site.webmanifest HTTP/1.1" 200 263
INFO 2025-04-25 21:11:16,789 basehttp 26268 5012 "GET /materials/ HTTP/1.1" 200 23794
INFO 2025-04-25 21:11:17,147 basehttp 26268 5012 "GET /static/projects/css/style.css HTTP/1.1" 200 3945
INFO 2025-04-25 21:11:17,148 basehttp 26268 49012 "GET /static/projects/js/main.js HTTP/1.1" 200 2435
INFO 2025-04-25 21:11:17,148 basehttp 26268 48316 "GET /static/projects/js/taggle.js HTTP/1.1" 200 5178
INFO 2025-04-25 21:11:17,148 basehttp 26268 14364 "GET /static/logo_2.png HTTP/1.1" 200 20640
INFO 2025-04-25 21:11:17,300 basehttp 26268 44344 "GET /static/projects/favicon/site.webmanifest HTTP/1.1" 200 263
INFO 2025-04-25 21:11:17,995 basehttp 26268 14364 "GET /project/ HTTP/1.1" 200 44362
INFO 2025-04-25 21:11:18,399 basehttp 26268 24024 "GET /static/projects/js/taggle.js HTTP/1.1" 200 5178
INFO 2025-04-25 21:11:18,399 basehttp 26268 14364 "GET /static/projects/css/style.css HTTP/1.1" 200 3945
INFO 2025-04-25 21:11:18,399 basehttp 26268 31692 "GET /static/projects/js/main.js HTTP/1.1" 200 2435
INFO 2025-04-25 21:11:18,400 basehttp 26268 49012 "GET /static/logo_2.png HTTP/1.1" 200 20640
INFO 2025-04-25 21:11:18,400 basehttp 26268 5012 "GET /media/project_images/project_image_14_g065GOP.jpg HTTP/1.1" 200 63959
INFO 2025-04-25 21:11:18,409 basehttp 26268 48316 "GET /media/project_images/3b24130a-ff4f-4869-9b1e-464ca9f80b5b.png HTTP/1.1" 200 1208204
INFO 2025-04-25 21:11:18,590 basehttp 26268 44344 "GET /static/projects/favicon/site.webmanifest HTTP/1.1" 200 263
INFO 2025-04-25 21:11:19,534 basehttp 26268 48316 "GET /project/1/ HTTP/1.1" 200 73519
INFO 2025-04-25 21:11:19,904 basehttp 26268 48316 "GET /static/projects/css/style.css HTTP/1.1" 200 3945
INFO 2025-04-25 21:11:19,905 basehttp 26268 14364 "GET /static/logo_2.png HTTP/1.1" 200 20640
INFO 2025-04-25 21:11:19,906 basehttp 26268 24024 "GET /static/projects/js/taggle.js HTTP/1.1" 200 5178
INFO 2025-04-25 21:11:19,906 basehttp 26268 31692 "GET /static/projects/js/main.js HTTP/1.1" 200 2435
INFO 2025-04-25 21:11:20,052 basehttp 26268 44344 "GET /static/projects/favicon/site.webmanifest HTTP/1.1" 200 263
